id	name	gender	age	degree	stream	college_name	placement_status	salary	gpa	years_of_experience
252	Liam Rodriguez	Male	26	Bachelor's	Electrical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
253	Olivia Smith	Female	24	Bachelor's	Mechanical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
254	Ethan Johnson	Male	23	Bachelor's	Electronics and Communication	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
255	Ava Williams	Female	25	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
256	Liam Brown	Male	26	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
257	Amelia Smith	Female	24	Bachelor's	Electrical Engineering	University of California--Los Angeles	Placed	66000	3.9	3.0
258	William Garcia	Male	23	Bachelor's	Mechanical Engineering	University of Virginia	Placed	67000	3.9	3.0
259	Olivia Brown	Female	25	Bachelor's	Electronics and Communication	University of Texas--Austin	Placed	68000	3.9	3.0
260	Elijah Garcia	Male	24	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
261	Emma Brown	Female	23	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
262	Noah Garcia	Male	24	Bachelor's	Electrical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
263	Sophia Martinez	Female	25	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
264	Liam Rodriguez	Male	26	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
265	Olivia Smith	Female	24	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
266	Ethan Johnson	Male	23	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
267	Ava Williams	Female	25	Bachelor's	Electrical Engineering	University of Michigan--Ann Arbor	Placed	64000	3.8	3.0
268	Liam Brown	Male	26	Bachelor's	Mechanical Engineering	University of California--Los Angeles	Placed	66000	3.9	3.0
269	Amelia Smith	Female	24	Bachelor's	Electronics and Communication	University of Virginia	Placed	67000	3.9	3.0
270	William Garcia	Male	23	Bachelor's	Computer Science	University of Texas--Austin	Placed	68000	3.9	3.0
271	Olivia Brown	Female	25	Bachelor's	Information Technology	University of Pennsylvania	Not Placed	0	3.7	2.0
272	Elijah Garcia	Male	24	Bachelor's	Electrical Engineering	University of Washington	Placed	67000	3.8	3.0
273	Emma Brown	Female	23	Bachelor's	Mechanical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
274	Noah Garcia	Male	24	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
275	Sophia Martinez	Female	25	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
276	Liam Rodriguez	Male	24	Bachelor's	Computer Science	University of California--San Diego	Placed	64000	3.6	2.0
277	Emily Watson	Female	25	Bachelor's	Electrical Engineering	University of Texas--Austin	Placed	65000	3.7	2.0
278	Nathan Garcia	Male	23	Bachelor's	Information Technology	University of California--Los Angeles	Placed	67000	3.8	3.0
279	Sophia Hernandez	Female	26	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
280	Oliver Martinez	Male	24	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
281	Amelia Lee	Female	25	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
282	Ethan Johnson	Male	23	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
283	Isabella Smith	Female	26	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
284	Aiden Brown	Male	24	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
285	Sophia Jones	Female	25	Bachelor's	Electrical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
286	Lucas Taylor	Male	23	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
287	Emma Martinez	Female	26	Bachelor's	Mechanical Engineering	University of Rochester	Placed	62000	3.8	3.0
288	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Santa Cruz	Placed	60000	3.7	2.0
289	Mia Wilson	Female	23	Bachelor's	Electronics and Communication	University of Connecticut	Placed	61000	3.5	1.0
290	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Riverside	Not Placed	0	3.9	2.0
291	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Delaware	Placed	65000	3.7	1.0
292	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
293	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
294	Ava Lee	Female	24	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
295	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Los Angeles	Placed	67000	3.9	3.0
296	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
297	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Pennsylvania	Not Placed	0	3.7	2.0
298	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
299	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
300	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
301	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
302	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
303	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
304	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Rochester	Placed	62000	3.8	3.0
305	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Santa Cruz	Placed	60000	3.7	2.0
306	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Connecticut	Placed	61000	3.5	1.0
307	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Riverside	Not Placed	0	3.9	2.0
308	Liam Perez	Male	25	Bachelor's	Computer Science	University of Delaware	Placed	65000	3.7	1.0
309	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of California--San Francisco	Placed	66000	3.8	3.0
310	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Texas--Dallas	Placed	63000	3.6	1.0
311	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Virginia	Placed	64000	3.9	2.0
312	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--Los Angeles	Placed	67000	3.9	3.0
313	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Michigan--Ann Arbor	Placed	68000	3.9	3.0
314	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
315	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Washington	Placed	67000	3.8	3.0
316	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
317	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
318	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
319	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
320	Ava Lee	Female	24	Bachelor's	Information Technology	University of Maryland--College Park	Placed	63000	3.7	2.0
321	Liam Perez	Male	25	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
322	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of California--Santa Cruz	Placed	60000	3.7	2.0
323	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Connecticut	Placed	61000	3.5	1.0
324	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
325	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Delaware	Placed	65000	3.7	1.0
326	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--San Francisco	Placed	66000	3.8	3.0
327	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
328	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
329	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
330	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
331	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Washington	Placed	67000	3.8	3.0
332	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of California--Los Angeles	Placed	66000	3.9	3.0
333	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Berkeley	Placed	65000	3.9	3.0
334	Liam Perez	Male	25	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
335	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
336	Alexander Lee	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
337	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
338	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
339	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Santa Cruz	Placed	60000	3.7	2.0
340	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
341	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
342	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
343	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--San Francisco	Placed	66000	3.8	3.0
344	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
345	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
346	Ava Lee	Female	24	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
347	Liam Perez	Male	25	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
348	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
349	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
350	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
351	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
352	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
353	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
354	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Rochester	Placed	62000	3.8	3.0
355	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
356	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
357	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
358	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Delaware	Placed	65000	3.7	1.0
359	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
360	Liam Perez	Male	25	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
361	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Virginia	Placed	64000	3.9	2.0
362	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
363	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
364	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Washington	Placed	67000	3.8	3.0
365	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Berkeley	Placed	66000	3.9	3.0
366	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
367	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
368	Jack Garcia	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
369	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
370	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
371	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
372	Ava Lee	Female	24	Bachelor's	Information Technology	University of Connecticut	Placed	61000	3.5	1.0
373	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
374	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
375	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--San Francisco	Placed	66000	3.8	3.0
376	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
377	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	64000	3.9	2.0
378	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Virginia	Placed	67000	3.9	3.0
379	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Los Angeles	Placed	67000	3.8	3.0
380	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Berkeley	Placed	66000	3.7	2.0
381	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
382	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
383	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
384	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
385	Ava Lee	Female	24	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
386	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Santa Cruz	Placed	60000	3.7	2.0
387	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Connecticut	Placed	61000	3.5	1.0
388	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Riverside	Not Placed	0	3.9	2.0
389	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Delaware	Placed	65000	3.7	1.0
390	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
391	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Texas--Dallas	Placed	63000	3.6	1.0
392	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Virginia	Placed	64000	3.9	2.0
393	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
394	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Pennsylvania	Not Placed	0	3.7	2.0
395	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Washington	Placed	67000	3.8	3.0
396	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
397	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
398	Ava Lee	Female	24	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
399	Liam Perez	Male	25	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
400	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Maryland--College Park	Placed	63000	3.7	2.0
401	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
402	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
403	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
404	Emma Martinez	Female	26	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
405	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Delaware	Placed	65000	3.7	1.0
406	Mia Wilson	Female	23	Bachelor's	Electronics and Communication	University of California--San Francisco	Placed	66000	3.8	3.0
407	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Texas--Dallas	Placed	63000	3.6	1.0
408	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Virginia	Placed	64000	3.9	2.0
409	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
410	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
411	Ava Lee	Female	24	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
412	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
413	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
414	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
415	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
416	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
417	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Rochester	Placed	62000	3.8	3.0
418	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Santa Cruz	Placed	60000	3.7	2.0
419	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Connecticut	Placed	61000	3.5	1.0
420	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Riverside	Not Placed	0	3.9	2.0
421	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Delaware	Placed	65000	3.7	1.0
422	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
423	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
424	Ava Lee	Female	24	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
425	Liam Perez	Male	25	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
426	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Pennsylvania	Not Placed	0	3.7	2.0
427	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
428	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
429	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
430	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
431	Aiden Davis	Male	24	Bachelor's	Computer Science	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
432	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
433	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Rochester	Placed	62000	3.8	3.0
434	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--Santa Cruz	Placed	60000	3.7	2.0
435	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
436	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
437	Ava Lee	Female	24	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
438	Liam Perez	Male	25	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
439	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Texas--Dallas	Placed	63000	3.6	1.0
440	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
441	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
442	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
443	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
444	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--Berkeley	Placed	66000	3.9	3.0
445	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
446	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Colorado--Boulder	Placed	66000	3.7	2.0
447	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
448	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
449	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Rochester	Placed	62000	3.8	3.0
450	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
451	Liam Perez	Male	25	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
452	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of California--Riverside	Not Placed	0	3.9	2.0
453	Alexander Lee	Male	26	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
454	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of California--San Francisco	Placed	66000	3.8	3.0
455	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
456	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Virginia	Placed	64000	3.9	2.0
457	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
458	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Pennsylvania	Not Placed	0	3.7	2.0
459	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Washington	Placed	67000	3.8	3.0
460	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--Berkeley	Placed	66000	3.9	3.0
461	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
462	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Colorado--Boulder	Placed	66000	3.7	2.0
463	Ava Lee	Female	24	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
464	Liam Perez	Male	25	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
465	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Rochester	Placed	62000	3.8	3.0
466	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
467	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
468	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
469	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of Delaware	Placed	65000	3.7	1.0
470	Aiden Davis	Male	24	Bachelor's	Computer Science	University of California--San Francisco	Placed	66000	3.8	3.0
471	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Texas--Dallas	Placed	63000	3.6	1.0
472	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Virginia	Placed	64000	3.9	2.0
473	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
474	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
475	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Washington	Placed	67000	3.8	3.0
476	Ava Lee	Female	24	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
477	Liam Perez	Male	25	Bachelor's	Computer Science	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
478	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Colorado--Boulder	Placed	66000	3.7	2.0
479	Alexander Lee	Male	26	Bachelor's	Information Technology	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
480	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Maryland--College Park	Placed	63000	3.7	2.0
481	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Rochester	Placed	62000	3.8	3.0
482	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of California--Santa Cruz	Placed	60000	3.7	2.0
483	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Connecticut	Placed	61000	3.5	1.0
484	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of California--Riverside	Not Placed	0	3.9	2.0
485	Jack Garcia	Male	26	Bachelor's	Information Technology	University of Delaware	Placed	65000	3.7	1.0
486	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of California--San Francisco	Placed	66000	3.8	3.0
487	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of Texas--Dallas	Placed	63000	3.6	1.0
488	Chloe Hernandez	Female	26	Bachelor's	Electrical Engineering	University of Virginia	Placed	64000	3.9	2.0
489	Ava Lee	Female	24	Bachelor's	Information Technology	University of Michigan--Ann Arbor	Placed	67000	3.9	3.0
490	Liam Perez	Male	25	Bachelor's	Computer Science	University of Pennsylvania	Not Placed	0	3.7	2.0
491	Isabella Martinez	Female	23	Bachelor's	Electronics and Communication	University of Washington	Placed	67000	3.8	3.0
492	Alexander Lee	Male	26	Bachelor's	Information Technology	University of California--Berkeley	Placed	66000	3.9	3.0
493	Sophia Johnson	Female	24	Bachelor's	Mechanical Engineering	University of Illinois--Urbana-Champaign	Placed	65000	3.8	3.0
494	Lucas Taylor	Male	23	Bachelor's	Computer Science	University of Colorado--Boulder	Placed	66000	3.7	2.0
495	Emma Martinez	Female	26	Bachelor's	Electronics and Communication	University of North Carolina--Chapel Hill	Not Placed	0	3.6	1.0
496	Aiden Davis	Male	24	Bachelor's	Computer Science	University of Maryland--College Park	Placed	63000	3.7	2.0
497	Mia Wilson	Female	23	Bachelor's	Electrical Engineering	University of Rochester	Placed	62000	3.8	3.0
498	Jack Garcia	Male	26	Bachelor's	Information Technology	University of California--Santa Cruz	Placed	60000	3.7	2.0
499	Emma Lopez	Female	24	Bachelor's	Mechanical Engineering	University of Connecticut	Placed	61000	3.5	1.0
500	Oliver Rodriguez	Male	23	Bachelor's	Computer Science	University of California--Riverside	Not Placed	0	3.9	2.0
